R_fighter,B_fighter,TOTAL_KD,TOTAL_SIG_STR_LAND,TOTAL_SIG_STR_ATT,TOTAL_SIG_STR_ACC,TOTAL_TD_LAND,TOTAL_TD_ATT,TOTAL_TD_ACC,TOTAL_SUB_ATT,TOTAL_HEAD_STR_LAND,TOTAL_HEAD_STR_ATT,TOTAL_HEAD_STR_ACC,TOTAL_BODY_STR_LAND,TOTAL_BODY_STR_ATT,TOTAL_BODY_STR_ACC,TOTAL_LEG_STR_LAND,TOTAL_LEG_STR_ATT,TOTAL_LEG_STR_ACC,TOTAL_DISTANCE_STR_LAND,TOTAL_DISTANCE_STR_ATT,TOTAL_DISTANCE_STR_ACC,TOTAL_CLINCH_STR_LAND,TOTAL_CLINCH_STR_ATT,TOTAL_CLINCH_STR_ACC,TOTAL_GROUND_STR_LAND,TOTAL_GROUND_STR_ATT,TOTAL_GROUND_STR_ACC,Referee,year,location,Fight_type,Winner
Rich Attonito,Rafael Natal,1,53,182,0.291208791,2,10,0.2,0,29,136,0.213235294,7,25,0.28,17,21,0.80952381,40,157,0.25477707,2,4,0.5,11,21,0.523809524,Kerry Hatley,2010,"Austin, Texas, USA",Middleweight Bout,Rich Attonito
Yves Edwards,John Gunderson,0,69,207,0.333333333,1,7,0.142857143,3,47,177,0.265536723,14,18,0.777777778,8,12,0.666666667,32,140,0.228571429,7,12,0.583333333,30,55,0.545454545,Kerry Hatley,2010,"Austin, Texas, USA",Lightweight Bout,Yves Edwards
Tomasz Drwal,David Branch,0,25,74,0.337837838,3,10,0.3,0,15,56,0.267857143,6,8,0.75,4,10,0.4,16,57,0.280701754,3,9,0.333333333,6,8,0.75,Herb Dean,2010,"Austin, Texas, USA",Middleweight Bout,David Branch
Jared Hamman,Kyle Kingsbury,0,167,458,0.364628821,9,15,0.6,0,113,378,0.298941799,24,38,0.631578947,30,42,0.714285714,149,417,0.357314149,13,29,0.448275862,5,12,0.416666667,Jon Schorle,2010,"Austin, Texas, USA",Light Heavyweight Bout,Kyle Kingsbury
Cole Miller,Ross Pearson,1,50,149,0.33557047,1,4,0.25,1,28,125,0.224,5,5,1,17,19,0.894736842,47,141,0.333333333,1,5,0.2,2,3,0.666666667,Herb Dean,2010,"Austin, Texas, USA",Lightweight Bout,Cole Miller
Jim Miller,Gleison Tibau,0,52,213,0.244131455,4,11,0.363636364,2,34,179,0.189944134,8,19,0.421052632,10,15,0.666666667,45,193,0.233160622,7,19,0.368421053,0,1,0,Jon Schorle,2010,"Austin, Texas, USA",Lightweight Bout,Jim Miller
Efrain Escudero,Charles Oliveira,0,48,167,0.28742515,2,10,0.2,1,19,120,0.158333333,10,19,0.526315789,19,28,0.678571429,38,151,0.251655629,8,12,0.666666667,2,4,0.5,Kerry Hatley,2010,"Austin, Texas, USA",Lightweight Bout,Charles Oliveira
Brian Foster,Forrest Petz,1,18,34,0.529411765,0,0,#DIV/0!,0,16,31,0.516129032,1,2,0.5,1,1,1,7,15,0.466666667,0,0,#DIV/0!,11,19,0.578947368,Herb Dean,2010,"Austin, Texas, USA",Welterweight Bout,Brian Foster
TJ Waldburger,David Mitchell,0,50,76,0.657894737,8,10,0.8,13,41,63,0.650793651,3,5,0.6,6,8,0.75,6,8,0.75,7,11,0.636363636,37,57,0.649122807,Jon Schorle,2010,"Austin, Texas, USA",Welterweight Bout,TJ Waldburger
Joe Lauzon,Gabe Ruediger,0,20,36,0.555555556,2,3,0.666666667,1,20,35,0.571428571,0,0,#DIV/0!,0,1,0,4,13,0.307692308,1,2,0.5,15,21,0.714285714,Herb Dean,2010,"Boston, Massachusetts, USA",Lightweight Bout,Joe Lauzon
Andre Winner,Nik Lentz,0,43,67,0.641791045,7,18,0.388888889,1,21,41,0.512195122,20,22,0.909090909,2,4,0.5,14,30,0.466666667,26,34,0.764705882,3,3,1,Josh Rosenthal,2010,"Boston, Massachusetts, USA",Lightweight Bout,Nik Lentz
Demian Maia,Mario Miranda,0,44,90,0.488888889,5,7,0.714285714,1,26,63,0.412698413,7,14,0.5,11,13,0.846153846,15,42,0.357142857,4,12,0.333333333,25,36,0.694444444,Herb Dean,2010,"Boston, Massachusetts, USA",Middleweight Bout,Demian Maia
Frankie Edgar,BJ Penn,0,130,380,0.342105263,5,12,0.416666667,0,88,311,0.282958199,29,48,0.604166667,13,21,0.619047619,99,338,0.292899408,14,20,0.7,17,22,0.772727273,Herb Dean,2010,"Boston, Massachusetts, USA",UFC Lightweight Title Bout,Frankie Edgar
Dan Miller,John Salter,0,44,126,0.349206349,2,4,0.5,2,35,116,0.301724138,5,6,0.833333333,4,4,1,40,119,0.336134454,3,6,0.5,1,1,1,Mario Yamasaki,2010,"Boston, Massachusetts, USA",Middleweight Bout,Dan Miller
Randy Couture,James Toney,0,8,11,0.727272727,1,1,1,2,7,10,0.7,1,1,1,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,8,11,0.727272727,Mario Yamasaki,2010,"Boston, Massachusetts, USA",Heavyweight Bout,Randy Couture
Kenny Florian,Gray Maynard,0,29,116,0.25,5,7,0.714285714,0,19,99,0.191919192,7,13,0.538461538,3,4,0.75,15,92,0.163043478,2,3,0.666666667,12,21,0.571428571,Mario Yamasaki,2010,"Boston, Massachusetts, USA",Lightweight Bout,Gray Maynard
Nate Diaz,Marcus Davis,1,146,531,0.274952919,2,6,0.333333333,1,112,481,0.232848233,14,26,0.538461538,20,24,0.833333333,130,499,0.260521042,13,25,0.52,3,7,0.428571429,Yves Lavigne,2010,"Boston, Massachusetts, USA",Welterweight Bout,Nate Diaz
Mike Pierce,Amilcar Alves,0,35,57,0.614035088,4,6,0.666666667,2,14,32,0.4375,9,10,0.9,12,15,0.8,1,10,0.1,4,7,0.571428571,30,40,0.75,Josh Rosenthal,2010,"Boston, Massachusetts, USA",Welterweight Bout,Mike Pierce
Nick Osipczak,Greg Soto,0,99,167,0.592814371,3,8,0.375,2,65,128,0.5078125,31,35,0.885714286,3,4,0.75,22,68,0.323529412,22,34,0.647058824,55,65,0.846153846,Yves Lavigne,2010,"Boston, Massachusetts, USA",Welterweight Bout,Greg Soto
Jon Fitch,Thiago Alves,0,51,147,0.346938776,9,11,0.818181818,0,28,116,0.24137931,10,16,0.625,13,15,0.866666667,31,107,0.289719626,7,16,0.4375,13,24,0.541666667,Herb Dean,2010,"Oakland, California, USA",Welterweight Bout,Jon Fitch
Roy Nelson,Junior Dos Santos,1,170,383,0.44386423,1,9,0.111111111,0,134,335,0.4,34,45,0.755555556,2,3,0.666666667,144,329,0.43768997,25,52,0.480769231,1,2,0.5,Marcos Rosales,2010,"Oakland, California, USA",Heavyweight Bout,Junior Dos Santos
Rodney Wallace,Phil Davis,0,61,101,0.603960396,3,9,0.333333333,0,41,75,0.546666667,20,25,0.8,0,1,0,8,27,0.296296296,8,10,0.8,45,64,0.703125,Herb Dean,2010,"Oakland, California, USA",Light Heavyweight Bout,Phil Davis
Clay Guida,Rafael Dos Anjos,0,36,154,0.233766234,3,10,0.3,0,21,131,0.160305344,6,9,0.666666667,9,14,0.642857143,24,139,0.172661871,7,8,0.875,5,7,0.714285714,Herb Dean,2010,"Oakland, California, USA",Lightweight Bout,Clay Guida
Matt Hughes,Ricardo Almeida,1,12,44,0.272727273,0,0,#DIV/0!,1,6,34,0.176470588,2,6,0.333333333,4,4,1,11,42,0.261904762,1,2,0.5,0,0,#DIV/0!,Josh Rosenthal,2010,"Oakland, California, USA",Welterweight Bout,Matt Hughes
Johny Hendricks,Charlie Brenneman,2,37,75,0.493333333,2,5,0.4,0,28,65,0.430769231,7,8,0.875,2,2,1,13,40,0.325,10,20,0.5,14,15,0.933333333,Josh Rosenthal,2010,"Oakland, California, USA",Welterweight Bout,Johny Hendricks
Anderson Silva,Chael Sonnen,0,118,225,0.524444444,4,8,0.5,4,89,187,0.475935829,15,19,0.789473684,14,19,0.736842105,26,84,0.30952381,3,4,0.75,89,137,0.649635036,Josh Rosenthal,2010,"Oakland, California, USA",UFC Middleweight Title Bout,Anderson Silva
Dustin Hazelett,Rick Story,1,82,127,0.645669291,3,5,0.6,2,48,87,0.551724138,34,40,0.85,0,0,#DIV/0!,21,43,0.488372093,29,41,0.707317073,32,43,0.744186047,Josh Rosenthal,2010,"Oakland, California, USA",Welterweight Bout,Rick Story
Todd Brown,Tim Boetsch,0,88,184,0.47826087,3,6,0.5,1,43,127,0.338582677,25,34,0.735294118,20,23,0.869565217,53,135,0.392592593,25,35,0.714285714,10,14,0.714285714,Marcos Rosales,2010,"Oakland, California, USA",Light Heavyweight Bout,Tim Boetsch
Stefan Struve,Christian Morecraft,1,47,91,0.516483516,1,1,1,3,43,87,0.494252874,3,3,1,1,1,1,9,28,0.321428571,1,2,0.5,37,61,0.606557377,Herb Dean,2010,"Oakland, California, USA",Heavyweight Bout,Stefan Struve
Ben Saunders,Dennis Hallman,0,58,100,0.58,3,6,0.5,1,41,79,0.518987342,14,17,0.823529412,3,4,0.75,23,48,0.479166667,14,19,0.736842105,21,33,0.636363636,Marcos Rosales,2010,"Oakland, California, USA",Welterweight Bout,Dennis Hallman
DaMarques Johnson,Matthew Riddle,0,51,110,0.463636364,3,6,0.5,0,42,101,0.415841584,7,7,1,2,2,1,8,28,0.285714286,7,7,1,36,75,0.48,Jason Herzog,2010,"San Diego, California, USA",Welterweight Bout,Matthew Riddle
Jon Jones,Vladimir Matyushenko,0,15,21,0.714285714,1,1,1,0,12,17,0.705882353,2,3,0.666666667,1,1,1,3,9,0.333333333,0,0,#DIV/0!,12,12,1,Herb Dean,2010,"San Diego, California, USA",Light Heavyweight Bout,Jon Jones
Tyson Griffin,Takanori Gomi,1,8,29,0.275862069,0,0,#DIV/0!,0,5,25,0.2,2,3,0.666666667,1,1,1,6,27,0.222222222,0,0,#DIV/0!,2,2,1,Jason Herzog,2010,"San Diego, California, USA",Lightweight Bout,Takanori Gomi
Mark Munoz,Yushin Okami,2,38,127,0.299212598,2,16,0.125,0,29,118,0.245762712,8,8,1,1,1,1,31,110,0.281818182,4,8,0.5,3,9,0.333333333,John McCarthy,2010,"San Diego, California, USA",Middleweight Bout,Yushin Okami
James Irvin,Igor Pokrajac,0,29,49,0.591836735,2,4,0.5,1,29,49,0.591836735,0,0,#DIV/0!,0,0,#DIV/0!,11,21,0.523809524,2,4,0.5,16,24,0.666666667,Herb Dean,2010,"San Diego, California, USA",Light Heavyweight Bout,Igor Pokrajac
Brian Stann,Mike Massenzio,0,48,83,0.578313253,5,9,0.555555556,4,29,63,0.46031746,15,16,0.9375,4,4,1,4,27,0.148148148,10,14,0.714285714,34,42,0.80952381,John McCarthy,2010,"San Diego, California, USA",Middleweight Bout,Brian Stann
Paul Kelly,Jacob Volkmann,0,56,140,0.4,6,7,0.857142857,4,44,124,0.35483871,4,5,0.8,8,11,0.727272727,13,61,0.213114754,4,6,0.666666667,39,73,0.534246575,John McCarthy,2010,"San Diego, California, USA",Lightweight Bout,Jacob Volkmann
John Howard,Jake Ellenberger,0,55,101,0.544554455,5,8,0.625,1,31,74,0.418918919,21,24,0.875,3,3,1,15,39,0.384615385,24,31,0.774193548,16,31,0.516129032,Herb Dean,2010,"San Diego, California, USA",Welterweight Bout,Jake Ellenberger
Darren Elkins,Charles Oliveira,0,3,8,0.375,1,1,1,2,2,7,0.285714286,0,0,#DIV/0!,1,1,1,1,5,0.2,0,0,#DIV/0!,2,3,0.666666667,Herb Dean,2010,"San Diego, California, USA",Lightweight Bout,Charles Oliveira
Rob Kimmons,Steve Steinbeiss,0,123,194,0.634020619,4,9,0.444444444,2,36,87,0.413793103,75,94,0.79787234,12,13,0.923076923,26,73,0.356164384,86,108,0.796296296,11,13,0.846153846,Jason Herzog,2010,"San Diego, California, USA",Middleweight Bout,Rob Kimmons
Chris Leben,Yoshihiro Akiyama,0,73,173,0.421965318,5,5,1,5,55,141,0.390070922,4,8,0.5,14,24,0.583333333,58,146,0.397260274,5,12,0.416666667,10,15,0.666666667,Herb Dean,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Chris Leben
Krzysztof Soszynski,Stephan Bonnar,1,80,202,0.396039604,2,6,0.333333333,0,66,179,0.368715084,5,8,0.625,9,15,0.6,35,100,0.35,34,86,0.395348837,11,16,0.6875,Mario Yamasaki,2010,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Stephan Bonnar
George Sotiropoulos,Kurt Pellegrino,2,87,270,0.322222222,4,5,0.8,0,79,250,0.316,4,13,0.307692308,4,7,0.571428571,59,228,0.25877193,11,17,0.647058824,17,25,0.68,Josh Rosenthal,2010,"Las Vegas, Nevada, USA",Lightweight Bout,George Sotiropoulos
Chris Lytle,Matt Brown,1,44,91,0.483516484,1,3,0.333333333,5,26,65,0.4,15,21,0.714285714,3,5,0.6,31,73,0.424657534,13,17,0.764705882,0,1,0,Steve Mazzagatti,2010,"Las Vegas, Nevada, USA",Welterweight Bout,Chris Lytle
Brock Lesnar,Shane Carwin,1,48,100,0.48,1,4,0.25,1,41,93,0.440860215,6,6,1,1,1,1,3,21,0.142857143,9,17,0.529411765,36,62,0.580645161,Josh Rosenthal,2010,"Las Vegas, Nevada, USA",UFC Heavyweight Title Bout,Brock Lesnar
Seth Petruzelli,Ricardo Romero,1,49,92,0.532608696,1,8,0.125,4,39,81,0.481481481,9,9,1,1,2,0.5,18,47,0.382978723,7,11,0.636363636,24,34,0.705882353,Steve Mazzagatti,2010,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Ricardo Romero
Brendan Schaub,Chris Tuchscherer,1,11,17,0.647058824,0,0,#DIV/0!,0,10,16,0.625,0,0,#DIV/0!,1,1,1,3,9,0.333333333,2,2,1,6,6,1,Herb Dean,2010,"Las Vegas, Nevada, USA",Heavyweight Bout,Brendan Schaub
Kendall Grove,Goran Reljic,0,42,145,0.289655172,4,6,0.666666667,2,19,112,0.169642857,14,19,0.736842105,9,14,0.642857143,18,104,0.173076923,18,24,0.75,6,17,0.352941176,Mario Yamasaki,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Kendall Grove
Gerald Harris,David Branch,0,30,76,0.394736842,5,7,0.714285714,0,20,65,0.307692308,6,6,1,4,5,0.8,13,55,0.236363636,14,15,0.933333333,3,6,0.5,Herb Dean,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Gerald Harris
Forrest Petz,Daniel Roberts,0,26,113,0.230088496,7,10,0.7,2,10,92,0.108695652,4,9,0.444444444,12,12,1,19,98,0.193877551,4,10,0.4,3,5,0.6,Steve Mazzagatti,2010,"Las Vegas, Nevada, USA",Welterweight Bout,Daniel Roberts
Jon Madsen,Karlos Vemola,0,53,95,0.557894737,3,7,0.428571429,1,16,52,0.307692308,15,19,0.789473684,22,24,0.916666667,8,42,0.19047619,38,45,0.844444444,7,8,0.875,Mario Yamasaki,2010,"Las Vegas, Nevada, USA",Heavyweight Bout,Jon Madsen
Court McGee,Kris McCray,0,41,125,0.328,5,7,0.714285714,1,27,104,0.259615385,11,17,0.647058824,3,4,0.75,19,87,0.218390805,15,29,0.517241379,7,9,0.777777778,Steve Mazzagatti,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Court McGee
Chris Leben,Aaron Simpson,0,85,170,0.5,2,10,0.2,1,59,133,0.443609023,11,18,0.611111111,15,19,0.789473684,40,112,0.357142857,37,48,0.770833333,8,10,0.8,Josh Rosenthal,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Chris Leben
Jamie Yager,Rich Attonito,0,53,139,0.381294964,1,4,0.25,0,38,117,0.324786325,2,7,0.285714286,13,15,0.866666667,36,117,0.307692308,5,6,0.833333333,12,16,0.75,Steve Mazzagatti,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Rich Attonito
John Gunderson,Mark Holst,0,33,75,0.44,5,9,0.555555556,3,24,64,0.375,6,7,0.857142857,3,4,0.75,9,36,0.25,2,3,0.666666667,22,36,0.611111111,Josh Rosenthal,2010,"Las Vegas, Nevada, USA",Lightweight Bout,John Gunderson
Spencer Fisher,Dennis Siver,0,129,398,0.324120603,0,0,#DIV/0!,0,52,286,0.181818182,27,50,0.54,50,62,0.806451613,127,394,0.322335025,2,4,0.5,0,0,#DIV/0!,Kim Winslow,2010,"Las Vegas, Nevada, USA",Lightweight Bout,Dennis Siver
Keith Jardine,Matt Hamill,0,142,426,0.333333333,2,9,0.222222222,0,112,385,0.290909091,5,9,0.555555556,25,32,0.78125,126,400,0.315,16,26,0.615384615,0,0,#DIV/0!,Herb Dean,2010,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Matt Hamill
Brad Tavares,Seth Baczynski,0,40,78,0.512820513,3,8,0.375,3,29,61,0.475409836,7,11,0.636363636,4,6,0.666666667,12,34,0.352941176,8,16,0.5,20,28,0.714285714,Herb Dean,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Brad Tavares
Josh Bryant,Kyle Noke,1,59,133,0.443609023,0,2,0,0,35,100,0.35,5,6,0.833333333,19,27,0.703703704,52,119,0.43697479,4,6,0.666666667,3,8,0.375,Kim Winslow,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Kyle Noke
James McSweeney,Travis Browne,1,25,55,0.454545455,0,0,#DIV/0!,1,20,44,0.454545455,2,6,0.333333333,3,5,0.6,9,28,0.321428571,0,0,#DIV/0!,16,27,0.592592593,Kim Winslow,2010,"Las Vegas, Nevada, USA",Heavyweight Bout,Travis Browne
Chris Camozzi,James Hammortree,0,91,206,0.441747573,2,9,0.222222222,1,38,138,0.275362319,23,32,0.71875,30,36,0.833333333,53,130,0.407692308,36,71,0.507042254,2,5,0.4,Josh Rosenthal,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Chris Camozzi
Tyson Griffin,Evan Dunham,0,54,143,0.377622378,3,8,0.375,2,27,105,0.257142857,9,11,0.818181818,18,27,0.666666667,49,134,0.365671642,5,8,0.625,0,1,0,Herb Dean,2010,"Vancouver, British Columbia, Canada",Lightweight Bout,Evan Dunham
Paulo Thiago,Martin Kampmann,0,37,99,0.373737374,2,12,0.166666667,4,27,81,0.333333333,5,8,0.625,5,10,0.5,23,77,0.298701299,7,11,0.636363636,7,11,0.636363636,Herb Dean,2010,"Vancouver, British Columbia, Canada",Welterweight Bout,Martin Kampmann
Mirko Filipovic,Pat Barry,3,67,166,0.403614458,0,1,0,2,37,125,0.296,10,14,0.714285714,20,27,0.740740741,50,146,0.342465753,13,16,0.8125,4,4,1,Yves Lavigne,2010,"Vancouver, British Columbia, Canada",Heavyweight Bout,Mirko Filipovic
David Loiseau,Mario Miranda,0,44,73,0.602739726,3,3,1,0,36,62,0.580645161,7,9,0.777777778,1,2,0.5,3,13,0.230769231,5,8,0.625,36,52,0.692307692,Tony Williamson,2010,"Vancouver, British Columbia, Canada",Middleweight Bout,Mario Miranda
Ben Rothwell,Gilbert Yvel,0,77,133,0.578947368,5,8,0.625,4,62,114,0.543859649,14,18,0.777777778,1,1,1,8,18,0.444444444,11,25,0.44,58,90,0.644444444,Yves Lavigne,2010,"Vancouver, British Columbia, Canada",Heavyweight Bout,Ben Rothwell
Carlos Condit,Rory MacDonald,0,101,240,0.420833333,3,10,0.3,1,65,184,0.35326087,14,29,0.482758621,22,27,0.814814815,52,154,0.337662338,18,35,0.514285714,31,51,0.607843137,Kevin Dornan,2010,"Vancouver, British Columbia, Canada",Welterweight Bout,Carlos Condit
Mac Danzig,Matt Wiman,0,8,20,0.4,1,1,1,2,4,13,0.307692308,1,2,0.5,3,5,0.6,6,16,0.375,0,0,#DIV/0!,2,4,0.5,Yves Lavigne,2010,"Vancouver, British Columbia, Canada",Lightweight Bout,Matt Wiman
Chuck Liddell,Rich Franklin,1,41,93,0.440860215,1,1,1,0,26,75,0.346666667,6,7,0.857142857,9,11,0.818181818,34,82,0.414634146,4,8,0.5,3,3,1,Herb Dean,2010,"Vancouver, British Columbia, Canada",Light Heavyweight Bout,Rich Franklin
James Wilks,Peter Sobotta,0,53,137,0.386861314,2,11,0.181818182,3,29,105,0.276190476,15,22,0.681818182,9,10,0.9,23,86,0.26744186,21,37,0.567567568,9,14,0.642857143,Kevin Dornan,2010,"Vancouver, British Columbia, Canada",Welterweight Bout,James Wilks
Ricardo Funch,Claude Patrick,0,18,23,0.782608696,1,4,0.25,2,12,17,0.705882353,2,2,1,4,4,1,2,3,0.666666667,5,7,0.714285714,11,13,0.846153846,Tony Williamson,2010,"Vancouver, British Columbia, Canada",Welterweight Bout,Claude Patrick
Mike Pyle,Jesse Lennox,1,86,242,0.355371901,1,6,0.166666667,3,48,184,0.260869565,13,28,0.464285714,25,30,0.833333333,73,210,0.347619048,4,12,0.333333333,9,20,0.45,Kevin Dornan,2010,"Vancouver, British Columbia, Canada",Welterweight Bout,Mike Pyle
Melvin Guillard,Waylon Lowe,1,15,27,0.555555556,1,6,0.166666667,0,12,24,0.5,1,1,1,2,2,1,4,14,0.285714286,6,8,0.75,5,5,1,Yves Lavigne,2010,"Las Vegas, Nevada, USA",Lightweight Bout,Melvin Guillard
Michael Bisping,Dan Miller,0,126,436,0.288990826,1,4,0.25,0,96,376,0.255319149,11,36,0.305555556,19,24,0.791666667,124,432,0.287037037,2,4,0.5,0,0,#DIV/0!,Steve Mazzagatti,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Michael Bisping
Todd Duffee,Mike Russow,1,65,226,0.287610619,0,9,0,0,57,215,0.265116279,7,10,0.7,1,1,1,62,217,0.285714286,3,9,0.333333333,0,0,#DIV/0!,Josh Rosenthal,2010,"Las Vegas, Nevada, USA",Heavyweight Bout,Mike Russow
Efrain Escudero,Dan Lauzon,1,81,257,0.315175097,0,4,0,0,50,213,0.234741784,7,11,0.636363636,24,33,0.727272727,56,199,0.281407035,25,57,0.438596491,0,1,0,Josh Rosenthal,2010,"Las Vegas, Nevada, USA",Lightweight Bout,Efrain Escudero
Jason Brilz,Rogerio Nogueira,0,41,117,0.35042735,4,14,0.285714286,4,32,101,0.316831683,6,8,0.75,3,8,0.375,25,89,0.280898876,6,14,0.428571429,10,14,0.714285714,Yves Lavigne,2010,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Rogerio Nogueira
Diego Sanchez,John Hathaway,1,108,264,0.409090909,1,10,0.1,0,85,234,0.363247863,9,15,0.6,14,15,0.933333333,81,222,0.364864865,6,9,0.666666667,21,33,0.636363636,Herb Dean,2010,"Las Vegas, Nevada, USA",Welterweight Bout,John Hathaway
Quinton Jackson,Rashad Evans,1,46,99,0.464646465,3,13,0.230769231,0,28,77,0.363636364,10,13,0.769230769,8,9,0.888888889,9,40,0.225,23,39,0.58974359,14,20,0.7,Herb Dean,2010,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Rashad Evans
Amir Sadollah,Dong Hyun Kim,0,40,78,0.512820513,6,8,0.75,0,33,67,0.492537313,2,4,0.5,5,7,0.714285714,13,39,0.333333333,6,9,0.666666667,21,30,0.7,Steve Mazzagatti,2010,"Las Vegas, Nevada, USA",Welterweight Bout,Dong Hyun Kim
Luiz Cane,Cyrille Diabate,2,21,37,0.567567568,0,2,0,0,16,32,0.5,2,2,1,3,3,1,17,32,0.53125,2,2,1,2,3,0.666666667,Herb Dean,2010,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Cyrille Diabate
Aaron Riley,Joe Brammer,0,83,211,0.393364929,4,10,0.4,0,37,141,0.262411348,25,36,0.694444444,21,34,0.617647059,56,170,0.329411765,24,37,0.648648649,3,4,0.75,Steve Mazzagatti,2010,"Las Vegas, Nevada, USA",Lightweight Bout,Aaron Riley
Jesse Forbes,Ryan Jensen,1,6,15,0.4,1,1,1,2,6,14,0.428571429,0,1,0,0,0,#DIV/0!,5,12,0.416666667,0,0,#DIV/0!,1,3,0.333333333,Josh Rosenthal,2010,"Las Vegas, Nevada, USA",Middleweight Bout,Ryan Jensen
Marcus Davis,Jonathan Goulet,2,16,33,0.484848485,4,5,0.8,1,14,29,0.482758621,2,4,0.5,0,0,#DIV/0!,6,15,0.4,3,3,1,7,15,0.466666667,Philippe Chartier,2010,"Montreal, Quebec, Canada",Welterweight Bout,Marcus Davis
Tom Lawlor,Joe Doerksen,1,86,186,0.462365591,0,3,0,1,74,166,0.445783133,9,14,0.642857143,3,6,0.5,63,153,0.411764706,22,32,0.6875,1,1,1,Yves Lavigne,2010,"Montreal, Quebec, Canada",Middleweight Bout,Joe Doerksen
Josh Koscheck,Paul Daley,0,30,57,0.526315789,4,6,0.666666667,1,21,47,0.446808511,8,9,0.888888889,1,1,1,9,32,0.28125,1,3,0.333333333,20,22,0.909090909,Dan Miragliotta,2010,"Montreal, Quebec, Canada",Welterweight Bout,Josh Koscheck
TJ Grant,Johny Hendricks,0,120,192,0.625,8,9,0.888888889,0,74,141,0.524822695,24,28,0.857142857,22,23,0.956521739,75,129,0.581395349,36,52,0.692307692,9,11,0.818181818,Marc-Andre Cote,2010,"Montreal, Quebec, Canada",Welterweight Bout,Johny Hendricks
Patrick Cote,Alan Belcher,0,49,88,0.556818182,3,3,1,2,28,61,0.459016393,13,16,0.8125,8,11,0.727272727,41,76,0.539473684,5,9,0.555555556,3,3,1,Mario Yamasaki,2010,"Montreal, Quebec, Canada",Middleweight Bout,Alan Belcher
Sam Stout,Jeremy Stephens,2,125,300,0.416666667,3,6,0.5,1,81,250,0.324,20,24,0.833333333,24,26,0.923076923,106,276,0.384057971,9,14,0.642857143,10,10,1,Mario Yamasaki,2010,"Montreal, Quebec, Canada",Lightweight Bout,Jeremy Stephens
Kevin Ferguson,Matt Mitrione,0,49,77,0.636363636,2,5,0.4,4,32,53,0.603773585,6,12,0.5,11,12,0.916666667,22,47,0.468085106,4,6,0.666666667,23,24,0.958333333,Dan Miragliotta,2010,"Montreal, Quebec, Canada",Heavyweight Bout,Matt Mitrione
Joey Beltran,Tim Hague,0,157,281,0.558718861,2,7,0.285714286,0,150,268,0.559701493,1,7,0.142857143,6,6,1,112,225,0.497777778,28,38,0.736842105,17,18,0.944444444,Mario Yamasaki,2010,"Montreal, Quebec, Canada",Heavyweight Bout,Joey Beltran
Jason MacDonald,John Salter,0,8,14,0.571428571,1,3,0.333333333,0,3,7,0.428571429,3,3,1,2,4,0.5,3,8,0.375,5,6,0.833333333,0,0,#DIV/0!,Dan Miragliotta,2010,"Montreal, Quebec, Canada",Middleweight Bout,John Salter
Yoshiyuki Yoshida,Mike Guymon,0,66,102,0.647058824,4,9,0.444444444,4,49,82,0.597560976,13,16,0.8125,4,4,1,12,48,0.25,14,14,1,40,40,1,Philippe Chartier,2010,"Montreal, Quebec, Canada",Welterweight Bout,Mike Guymon
Lyoto Machida,Mauricio Rua,1,26,39,0.666666667,2,3,0.666666667,0,17,27,0.62962963,4,4,1,5,8,0.625,12,25,0.48,7,7,1,7,7,1,Yves Lavigne,2010,"Montreal, Quebec, Canada",UFC Light Heavyweight Title Bout,Mauricio Rua
BJ Penn,Frankie Edgar,0,132,494,0.267206478,1,13,0.076923077,0,99,427,0.231850117,21,42,0.5,12,25,0.48,121,469,0.257995736,10,24,0.416666667,1,1,1,Herb Dean,2010,"Abu Dhabi, United Arab Emirates",UFC Lightweight Title Bout,Frankie Edgar
Anderson Silva,Demian Maia,1,71,163,0.435582822,0,13,0,0,38,110,0.345454545,6,13,0.461538462,27,40,0.675,65,150,0.433333333,2,4,0.5,4,9,0.444444444,Dan Miragliotta,2010,"Abu Dhabi, United Arab Emirates",UFC Middleweight Title Bout,Anderson Silva
Kendall Grove,Mark Munoz,1,34,86,0.395348837,1,8,0.125,3,24,76,0.315789474,10,10,1,0,0,#DIV/0!,6,27,0.222222222,4,10,0.4,24,49,0.489795918,Marc Goddard,2010,"Abu Dhabi, United Arab Emirates",Middleweight Bout,Mark Munoz
